tweet_text,tweet_time,tweet_place
"Shut up Bitch lol 😂 @ Austin, Texas https://t.co/l0BH8Zol71",Tue Jan 01 23:55:57 +0000 2019,"Austin, TX"
Me realizing it’s 2019 https://t.co/1ltGrGdLPR,Tue Jan 01 23:55:55 +0000 2019,"Austin, TX"
@Money_Mamaa 😈😈😈😈,Tue Jan 01 23:55:29 +0000 2019,"Austin, TX"
Work was so dead today that I managed to watch 7 episodes of The Office AND Infinity War. All while handing out tic… https://t.co/KMpE5NH4aQ,Tue Jan 01 23:55:26 +0000 2019,"Austin, TX"
"This whole actions over words is bs, consistent actions is what counts. Anybody can show an act of kind with no real intentions behind them",Tue Jan 01 23:55:06 +0000 2019,"Austin, TX"
"@SubiaNando Wow I just got this, I’m so stupid",Tue Jan 01 23:55:04 +0000 2019,"Austin, TX"
UH....ICE-T just liked my tweet???? 2019 is off to a good start 😂 https://t.co/FuRYwP37mH,Tue Jan 01 23:55:03 +0000 2019,"Austin, TX"
That’s a lot to back up... here’s to hoping... #hookem https://t.co/aUSkoNLojS,Tue Jan 01 23:54:59 +0000 2019,"Austin, TX"
"I’m not sure if I’m at my endgame con bag just yet, but I’m still mostly floored that I managed to design my own PC… https://t.co/jL8BSFLXGp",Tue Jan 01 23:54:57 +0000 2019,"Austin, TX"
"@RaeDeAnneR Chong: Yo Cheech, you done with that apartment floorplan?
Cheech: *deep inhale, cough cough* yep. Here… https://t.co/BAgvVEv2HJ",Tue Jan 01 23:54:49 +0000 2019,"Austin, TX"
@NomineeMusic I love you guys. Such an inspiration ❤️,Tue Jan 01 23:54:38 +0000 2019,"Austin, TX"
"Cheers to 2019🥂 @ Austin, Texas https://t.co/EzwScgcXoE",Tue Jan 01 23:54:16 +0000 2019,"Austin, TX"
"Donating is good.

I'd like to see Congress donate their healthcare to Americans.

Oh that's right... They got thei… https://t.co/YVSaNbWqig",Tue Jan 01 23:54:13 +0000 2019,"Austin, TX"
"@Lindaparker45 @TheMikelCrump @TheNoahRing No  he doesn't, just the same misleading talking points",Tue Jan 01 23:54:08 +0000 2019,"Austin, TX"
it’s 2019 pls let me get a cool and sexy robot wife this year,Tue Jan 01 23:54:01 +0000 2019,"Austin, TX"
@mikepouraryan @IngrahamAngle @LifeZette @BarackObama The General was insubordinate according to some.  Trashing PO… https://t.co/3OJLnRTamu,Tue Jan 01 23:53:33 +0000 2019,"Austin, TX"
Explains a lot https://t.co/5wbuchEQc0,Tue Jan 01 23:53:32 +0000 2019,"Austin, TX"
"If Hue doesn’t get the Bengals job, they should definitely give it to Vance. Either that or maybe give Dave Shula a… https://t.co/NzBYmqsMhv",Tue Jan 01 23:53:27 +0000 2019,"Austin, TX"
