tweet_text,tweet_time,tweet_place
@Delta a bit past the 20 minute rule for bags. :-( flight 3290...,Thu Jan 03 23:51:27 +0000 2019,"Shreveport, LA"
Goodnight my friend have a great night and a good nights Rest! https://t.co/mDH1BFqsbg,Thu Jan 03 23:50:03 +0000 2019,"Shreveport, LA"
B2K biopic in a couple of years gon be lit,Thu Jan 03 23:49:44 +0000 2019,"Shreveport, LA"
"We r too happy Nation getting rid of thar Media Attenyion hungry CJP, Hope next 1 will Work not Loke him Big claims… https://t.co/rZBWjaP7vq",Thu Jan 03 23:48:40 +0000 2019,"Shreveport, LA"
"This job is now open at Lowe's in Shreveport, LA. Follow us and turn on mobile alerts to hear about jobs like these… https://t.co/GvRlmaEkPq",Thu Jan 03 23:48:03 +0000 2019,"Shreveport, LA"
@DO_U_IM_ME https://t.co/7054Dqebv1,Thu Jan 03 23:48:02 +0000 2019,"Shreveport, LA"
Yalls eyebrows get dandruff? or am I just weird?,Thu Jan 03 23:47:03 +0000 2019,"Shreveport, LA"
Theres a B2K documentary on YouTube that y’all should watch...,Thu Jan 03 23:45:51 +0000 2019,"Shreveport, LA"
"New Models!!!
DM/RT

#Gramfam
#GramFam23 #Gramfam22 #Gramfam21 https://t.co/H6cE7q1jYs",Thu Jan 03 23:45:39 +0000 2019,"Shreveport, LA"
This Swae Lee &amp; Post Malone song jam on some shit.,Thu Jan 03 23:44:08 +0000 2019,"Shreveport, LA"
"LifeCare Health Partners, a leading #healthcare services provider, is dedicated to improving the quality of life fo… https://t.co/M6slYmoUOw",Thu Jan 03 23:42:13 +0000 2019,"Shreveport, LA"
Whew chileeee Lifetime is gonna be catching fire 🔥 tonight,Thu Jan 03 23:40:09 +0000 2019,"Shreveport, LA"
"See our latest Shreveport, LA job and click to apply: Staff Pharmacist FT - https://t.co/3jyiaakeLV #Pharmacist",Thu Jan 03 23:39:06 +0000 2019,"Shreveport, LA"
@_thelindsayE 😭😭😭,Thu Jan 03 23:37:01 +0000 2019,"Shreveport, LA"
"A few regrets , I was hurting but I’m good now",Thu Jan 03 23:36:13 +0000 2019,"Shreveport, LA"
Man in the mirror GOTTA be the worst movie I've ever seen,Thu Jan 03 23:34:23 +0000 2019,"Shreveport, LA"
You ever seen man in the mirror? https://t.co/cSGMpxIaMr,Thu Jan 03 23:34:00 +0000 2019,"Shreveport, LA"
"LifeCare Health Partners is hiring in Shreveport, LA! Click the link in our bio to apply: Pharmacy Tech - PRN #PharmTech #Pharmacy",Thu Jan 03 23:33:53 +0000 2019,"Shreveport, LA"
@ChiquitaSWEETS @naima The absolute worst type of preacher!,Thu Jan 03 23:32:49 +0000 2019,"Shreveport, LA"
Chills... https://t.co/RyDv8egsvX,Thu Jan 03 23:32:00 +0000 2019,"Shreveport, LA"
"Safety-Kleen is hiring in Shreveport, LA! Read about our latest #Manufacturing job opening via the link in our bio: Oil Terminal Technician",Thu Jan 03 23:31:31 +0000 2019,"Shreveport, LA"
@ModerationGood @GOPChairwoman @realDonaldTrump Right!  Well on CNN with @jaketapper he said he would support the w… https://t.co/eWDV0SBlsN,Thu Jan 03 23:31:20 +0000 2019,"Shreveport, LA"
"We're hiring! Read about our latest job opening here: Inventory &amp; Merchandising Specialist (Longview, TX area) - https://t.co/W4qG0mdpUR",Thu Jan 03 23:29:43 +0000 2019,"Shreveport, LA"
"current weather in Shreveport: moderate rain, 45°F
93% humidity, wind 7mph, pressure 1011mb",Thu Jan 03 23:25:10 +0000 2019,"Shreveport, LA"
"Take me on a crawfish date, that’ll show me u luv me.",Thu Jan 03 23:25:03 +0000 2019,"Shreveport, LA"
preach sis https://t.co/3uSneyPatB,Thu Jan 03 23:24:03 +0000 2019,"Shreveport, LA"
I was hurt deeply but I’m good now.,Thu Jan 03 23:23:43 +0000 2019,"Shreveport, LA"
Shreveport: 5:22pm: sunset,Thu Jan 03 23:21:02 +0000 2019,"Shreveport, LA"
"🎧 #ArianaGrande, #ChildishGambino and #TameImpala to Headline Coachella 2019. Tickets for Coachella go on sale Frid… https://t.co/yfGkzgNX9i",Thu Jan 03 23:19:39 +0000 2019,"Shreveport, LA"
"Don't be shy. Score a job like ""Service Coordinator-Housing"" at National Church Residences by asking for referrals.… https://t.co/Yc7VYyF7UZ",Thu Jan 03 23:19:30 +0000 2019,"Shreveport, LA"
"@luckylukeekul @audible_com They good! I’m on The Ancients.  I love how Dean keeps saying the Theos are arrogant, m… https://t.co/o6s3wKHmiA",Thu Jan 03 23:19:29 +0000 2019,"Shreveport, LA"
@meganululani very true ☺️ soon i promise!!! 💖,Thu Jan 03 23:19:13 +0000 2019,"Shreveport, LA"
@obn_jay Y’all Go Run Lit Bro Music Up 🌋🔥🖤🦍 https://t.co/jAqFtTIocH,Thu Jan 03 23:19:00 +0000 2019,"Shreveport, LA"
@meganululani literally me rn minus the desert part 😩,Thu Jan 03 23:18:34 +0000 2019,"Shreveport, LA"
"@BNCartwright @itsjameskennedy I’m no Jaxass fan, but he seems to have realized how great Britt is and hope he stic… https://t.co/95mU8ACJ13",Thu Jan 03 23:16:00 +0000 2019,"Shreveport, LA"
@lydiabranchh cut that negativity out of your life sis 😩😩,Thu Jan 03 23:15:37 +0000 2019,"Shreveport, LA"
Reasons why you can’t eat everybody’s food. https://t.co/pvJj4kX7zA,Thu Jan 03 23:14:19 +0000 2019,"Shreveport, LA"
"Dang, I need a Honda lmao https://t.co/VcZBRwStra",Thu Jan 03 23:11:26 +0000 2019,"Shreveport, LA"
Imagine if Dear Old Nicki was on Queen instead of Pink Friday. Wow! That would’ve been amazing!,Thu Jan 03 23:10:52 +0000 2019,"Shreveport, LA"
@WisherMatthew https://t.co/9roS7HecDx,Thu Jan 03 23:10:18 +0000 2019,"Shreveport, LA"
a sams po boy sound good,Thu Jan 03 23:09:00 +0000 2019,"Shreveport, LA"
@JordanfLive The streets waiting big fella,Thu Jan 03 23:08:36 +0000 2019,"Shreveport, LA"
Looking to score a job at Regions Bank? You're in luck. Click the link in our bio for the job description and infor… https://t.co/vQxL5GVn8i,Thu Jan 03 23:08:09 +0000 2019,"Shreveport, LA"
@lthomasnews Got to love the guy laughing so hard at soda machine 😃,Thu Jan 03 23:07:08 +0000 2019,"Shreveport, LA"
Ihop with my kids tonight ☺️,Thu Jan 03 23:06:26 +0000 2019,"Shreveport, LA"
@MieshaTate Most definitely. Valentino did too!! I think she won her fight vs Nunes,Thu Jan 03 23:04:45 +0000 2019,"Shreveport, LA"
"@KirkHerbstreit Come on Incognito. If Clemson gets beat in championship game, u gonna u gonna day they didn’t deser… https://t.co/XtKmOJmUL6",Thu Jan 03 23:02:46 +0000 2019,"Shreveport, LA"
I’m so freaking bored and hungry.,Thu Jan 03 22:59:36 +0000 2019,"Shreveport, LA"
"See our latest Shreveport, LA job and click to apply: Economic Surveyor - https://t.co/vjJq7hFZBO #KellyJobs #KellyServices",Thu Jan 03 22:59:00 +0000 2019,"Shreveport, LA"
Mine wasn’t necessarily a list. Just more of a how do you leave these guys off kinda thing https://t.co/s40WN6r9Xq,Thu Jan 03 22:58:12 +0000 2019,"Shreveport, LA"
@JamesKSLA we have the same look on our face! 😆👀😎 https://t.co/LqY3xN7Qf7,Thu Jan 03 22:57:58 +0000 2019,"Shreveport, LA"
I’d give an arm and a leg to experience this. https://t.co/RGFWz1GF45,Thu Jan 03 22:56:18 +0000 2019,"Shreveport, LA"
@JoshGellers @MCJMoreland @realDonaldTrump Calling out the lefts hypocrisy is staying on point. We survived 8 years… https://t.co/hEaPxccYWA,Thu Jan 03 22:56:06 +0000 2019,"Shreveport, LA"
@Devin11__ You already know 💯,Thu Jan 03 22:54:57 +0000 2019,"Shreveport, LA"
@ambertamblyn Not our fault u pick iffy women,Thu Jan 03 22:54:35 +0000 2019,"Shreveport, LA"
@ambertamblyn Funny when we liked Condoleezza Rice liberals laughed at us,Thu Jan 03 22:53:49 +0000 2019,"Shreveport, LA"
@CBSSportsRadio @TikiAndTierney I get some of AB issue but the keep it going every day throwing more fuel on the fi… https://t.co/eVUATnLuoY,Thu Jan 03 22:51:30 +0000 2019,"Shreveport, LA"
Mine or his? https://t.co/CkBXd7qCpt,Thu Jan 03 22:50:01 +0000 2019,"Shreveport, LA"
ima need my step dad to teach me how to drive a stick asap,Thu Jan 03 22:49:10 +0000 2019,"Shreveport, LA"
ethika sold out of everything on they site 😐,Thu Jan 03 22:47:23 +0000 2019,"Shreveport, LA"
2️⃣0️⃣1️⃣9️⃣🤖 https://t.co/afUnAt1St6,Thu Jan 03 22:45:59 +0000 2019,"Shreveport, LA"
Canseco? Hank? Big Papi? A-Rod? Jim Thome? https://t.co/Wh4t5CyeUq,Thu Jan 03 22:44:43 +0000 2019,"Shreveport, LA"
@kenzie_sheldon @tetris_daddy Lol imagine if like a child was serious all the time 😂 like always deadass serious,Thu Jan 03 22:35:49 +0000 2019,"Shreveport, LA"
when the love is being shown&gt;,Thu Jan 03 22:35:12 +0000 2019,"Shreveport, LA"
My Lil bih gotta be freaky,Thu Jan 03 22:34:47 +0000 2019,"Shreveport, LA"
"nvm, I’ll just boost myself.",Thu Jan 03 22:34:35 +0000 2019,"Shreveport, LA"
What good on xnxx? 😂🤣,Thu Jan 03 22:34:20 +0000 2019,"Shreveport, LA"
I need a motivational message.,Thu Jan 03 22:34:16 +0000 2019,"Shreveport, LA"
Life 🔥,Thu Jan 03 22:33:29 +0000 2019,"Shreveport, LA"
Why u ain’t sleep 😴,Thu Jan 03 22:32:48 +0000 2019,"Shreveport, LA"
@dosesofraye @Cyn_Santana The surviving r Kelly story,Thu Jan 03 22:32:29 +0000 2019,"Shreveport, LA"
@caliiiiswagg @Cyn_Santana R Kelly story,Thu Jan 03 22:32:04 +0000 2019,"Shreveport, LA"
Deletos.... https://t.co/58jvH6qZAr,Thu Jan 03 22:32:00 +0000 2019,"Shreveport, LA"
Somebody get food with me😭,Thu Jan 03 22:31:14 +0000 2019,"Shreveport, LA"
@foreignbae_ 😂😂😂don’t judge me. U know we don’t do that to each other,Thu Jan 03 22:30:58 +0000 2019,"Shreveport, LA"
Yea she cold 🥶 but she ain’t bae. You know the month before may https://t.co/McgEVhlaWp,Thu Jan 03 22:30:26 +0000 2019,"Shreveport, LA"
"If you're looking for work in Shreveport, LA, check out this #Cosmetology job via the link in our bio: Specialty Be… https://t.co/MpQZa8yp7F",Thu Jan 03 22:30:06 +0000 2019,"Shreveport, LA"
@foreignbae_ Yea i like that too. I thought he was saying nba lol,Thu Jan 03 22:29:12 +0000 2019,"Shreveport, LA"
Lifetime shoulda just dropped the documentary unannounced like an album,Thu Jan 03 22:29:11 +0000 2019,"Shreveport, LA"
My lil cutie😚 https://t.co/jsCrI5RoRI,Thu Jan 03 22:28:35 +0000 2019,"Shreveport, LA"
To the ppl that get up when the plane lands...WTF ARE YOU GOING?!,Thu Jan 03 22:28:17 +0000 2019,"Shreveport, LA"
I’m supposed to be Netflix &amp; chilling instead of getting cursed out by 5 diff people each hour,Thu Jan 03 22:27:54 +0000 2019,"Shreveport, LA"
@foreignbae_ I like it like that,Thu Jan 03 22:26:26 +0000 2019,"Shreveport, LA"
@foreignbae_ Yea I’m feeling that one. Gotta go on da playlist lol,Thu Jan 03 22:25:36 +0000 2019,"Shreveport, LA"
@tetris_daddy @kenzie_sheldon I feel like that would be the funniest thing ever,Thu Jan 03 22:25:30 +0000 2019,"Shreveport, LA"
Mane who the fuck made her 😍🤷🏾‍♂️,Thu Jan 03 22:25:05 +0000 2019,"Shreveport, LA"
Captain Underpants lookin ass😂 https://t.co/vU9BsoyVJt,Thu Jan 03 22:24:45 +0000 2019,"Shreveport, LA"
Body fall is a vibe,Thu Jan 03 22:23:34 +0000 2019,"Shreveport, LA"
Is it me or am i just faded,Thu Jan 03 22:23:07 +0000 2019,"Shreveport, LA"
Biggest Game n College football u know it I’m n on that Next Monday making more history #WatchTheCFBPlayoff. https://t.co/DseUgpkBAc,Thu Jan 03 22:22:34 +0000 2019,"Shreveport, LA"
Can i get to know the real you,Thu Jan 03 22:22:17 +0000 2019,"Shreveport, LA"
@accessonline Katy Perry is looking like... https://t.co/Fsmzp2ryuD,Thu Jan 03 22:22:15 +0000 2019,"Shreveport, LA"
@OhThe_CuriosiTY SLOW TF DOWN!,Thu Jan 03 22:21:59 +0000 2019,"Shreveport, LA"
@foreignbae_ Let me see your real hair,Thu Jan 03 22:21:18 +0000 2019,"Shreveport, LA"
Girl you gotta fan,Thu Jan 03 22:20:46 +0000 2019,"Shreveport, LA"
@foreignbae_ I don’t put it past em frfr. Ppl crazy these days,Thu Jan 03 22:20:20 +0000 2019,"Shreveport, LA"
"moderate rain -&gt; light rain
temperature up 44°F -&gt; 46°F
humidity up 92% -&gt; 96%",Thu Jan 03 22:19:22 +0000 2019,"Shreveport, LA"
"Click the link in our bio to see currently open #BusinessMgmt jobs like ""Assistant Store Mgr Service"" at Lowe's in Shreveport, LA.",Thu Jan 03 22:19:05 +0000 2019,"Shreveport, LA"
You got a fan,Thu Jan 03 22:17:41 +0000 2019,"Shreveport, LA"
@shrevememorial @suzspetals https://t.co/UpKcPvWhTH,Thu Jan 03 22:17:36 +0000 2019,"Shreveport, LA"
I want a fruit bowl,Thu Jan 03 22:16:38 +0000 2019,"Shreveport, LA"
"Don't be shy. Score a job like ""Driver - Shreveport Area"" at Enterprise Holdings by asking for referrals. It's a gr… https://t.co/uO5SIbBk9E",Thu Jan 03 22:16:24 +0000 2019,"Shreveport, LA"
I respect ya so i tell u how I’m moving,Thu Jan 03 22:15:56 +0000 2019,"Shreveport, LA"
My little brother is getting a giant traditional tiger tattooed on his forearm rn so y'all can bet my mother is sec… https://t.co/oDMngV0P2O,Thu Jan 03 22:15:24 +0000 2019,"Shreveport, LA"
"This rainy weather has me alllllll kinda of sleepy, but there is still more to do. https://t.co/rAoXN1jG2s",Thu Jan 03 22:15:06 +0000 2019,"Shreveport, LA"
@foreignbae_ 😂😂🤣🤣,Thu Jan 03 22:14:37 +0000 2019,"Shreveport, LA"
@sconnolly318 @suzspetals So glad we were able to save you some $$$! That's what the library is here for.,Thu Jan 03 22:13:43 +0000 2019,"Shreveport, LA"
@DJJcoreyLamar @JaraBee_ Any suggestions for us??? We're always looking to improve our social media. :-),Thu Jan 03 22:13:07 +0000 2019,"Shreveport, LA"
"@LSUHS_Library Happy New Year, y'all!!",Thu Jan 03 22:12:21 +0000 2019,"Shreveport, LA"
🔥,Thu Jan 03 22:11:26 +0000 2019,"Shreveport, LA"
@hthuskysports @fotownbuckeye @SanDiegoKnight @dannykanell That’s all most sec fans r saying. U play in sec each we… https://t.co/3pFBQB06ZP,Thu Jan 03 22:11:17 +0000 2019,"Shreveport, LA"
"@Cl4rkKent_1906 We have many copies available for patrons to borrow! Wonderful author, and an important book.",Thu Jan 03 22:11:05 +0000 2019,"Shreveport, LA"
I’m who she fuck after,Thu Jan 03 22:11:03 +0000 2019,"Shreveport, LA"
Calling her body to the bed 🛌 room,Thu Jan 03 22:10:32 +0000 2019,"Shreveport, LA"
@shannadodd ❤️❤️❤️❤️❤️,Thu Jan 03 22:09:18 +0000 2019,"Shreveport, LA"
Ride!!!!,Thu Jan 03 22:09:17 +0000 2019,"Shreveport, LA"
@RAVIEB Elite on @netflix,Thu Jan 03 22:08:09 +0000 2019,"Shreveport, LA"
@jazminjc We cannot like this enough!! :-),Thu Jan 03 22:07:54 +0000 2019,"Shreveport, LA"
Anything u wanna tell me tell me now,Thu Jan 03 22:07:37 +0000 2019,"Shreveport, LA"
Only one... wow https://t.co/ZQInesc0CF,Thu Jan 03 22:06:06 +0000 2019,"Shreveport, LA"
.....👀,Thu Jan 03 22:05:35 +0000 2019,"Shreveport, LA"
"@fotownbuckeye @hthuskysports @SanDiegoKnight @dannykanell Probably, but sec has had 3 teams in top 5 before. I ima… https://t.co/BMByz8SYgy",Thu Jan 03 22:05:32 +0000 2019,"Shreveport, LA"
#WPS https://t.co/k242FHCE2c,Thu Jan 03 22:05:31 +0000 2019,"Shreveport, LA"
Tell me you not into me,Thu Jan 03 22:05:24 +0000 2019,"Shreveport, LA"
Oh this a vibe frfr,Thu Jan 03 22:05:04 +0000 2019,"Shreveport, LA"
I’ll treat you fair,Thu Jan 03 22:04:46 +0000 2019,"Shreveport, LA"
https://t.co/mQQDb0tMRy,Thu Jan 03 22:04:28 +0000 2019,"Shreveport, LA"
Spontaneous females 😍 wya,Thu Jan 03 22:04:19 +0000 2019,"Shreveport, LA"
&lt;~~hood romantic,Thu Jan 03 22:03:41 +0000 2019,"Shreveport, LA"
You know my life? https://t.co/SBnlVDApDY,Thu Jan 03 22:03:30 +0000 2019,"Shreveport, LA"
"Traveling Soldier 

Protecting Jewish Banking interest one day at a Time https://t.co/vkRDZphqDn",Thu Jan 03 22:02:33 +0000 2019,"Shreveport, LA"
@groovee_t Lmaooooo 😂😂,Thu Jan 03 22:01:25 +0000 2019,"Shreveport, LA"
Vaccines and food ...All in one Place https://t.co/QVlNt844BN,Thu Jan 03 22:01:15 +0000 2019,"Shreveport, LA"
You free to choose,Thu Jan 03 22:01:01 +0000 2019,"Shreveport, LA"
La. Tech in the market for a defensive coordinator. @CoryDiaz_TNS has the story. https://t.co/YY5ycrmrSt #LATech,Thu Jan 03 22:01:00 +0000 2019,"Shreveport, LA"
#flatearth https://t.co/Eh7Hdu61um,Thu Jan 03 22:00:39 +0000 2019,"Shreveport, LA"
Yes so far so good 😊,Thu Jan 03 22:00:23 +0000 2019,"Shreveport, LA"
MaryLand https://t.co/V6bPj8ZeaY,Thu Jan 03 22:00:11 +0000 2019,"Shreveport, LA"
I’m a open book,Thu Jan 03 21:59:59 +0000 2019,"Shreveport, LA"
https://t.co/RVdHMdHOFz,Thu Jan 03 21:59:48 +0000 2019,"Shreveport, LA"
Honesty is key,Thu Jan 03 21:59:48 +0000 2019,"Shreveport, LA"
https://t.co/qzwT8MCVyg,Thu Jan 03 21:59:42 +0000 2019,"Shreveport, LA"
"Indoctrination 
Mama 
Grandma 
and Pastor will still be giving you advice in Hell https://t.co/miZUUfXzaT",Thu Jan 03 21:59:11 +0000 2019,"Shreveport, LA"
Got my blood flowing,Thu Jan 03 21:58:52 +0000 2019,"Shreveport, LA"
He came on smashing something,Thu Jan 03 21:58:42 +0000 2019,"Shreveport, LA"
https://t.co/RLdtVQX6UI,Thu Jan 03 21:58:31 +0000 2019,"Shreveport, LA"
Oh shit 3 tapes in one 👀,Thu Jan 03 21:58:07 +0000 2019,"Shreveport, LA"
If the By Baal Version is correct https://t.co/DUpStrss6n,Thu Jan 03 21:57:36 +0000 2019,"Shreveport, LA"
Your beautiful. I’m assuming the interior is the same as the exterior,Thu Jan 03 21:57:19 +0000 2019,"Shreveport, LA"
"Great now LeBron is gonna go for 50 both games against us just to piss Danny Ainge off

Can’t wait to see how else… https://t.co/HCKuWNX8e1",Thu Jan 03 21:57:10 +0000 2019,"Shreveport, LA"
@LillyKae_ Thanks girl 😘,Thu Jan 03 21:57:00 +0000 2019,"Shreveport, LA"
Wish I could get some  food stamps https://t.co/X4rjdjpCyb,Thu Jan 03 21:56:47 +0000 2019,"Shreveport, LA"
🙁🙁sorry to hear that,Thu Jan 03 21:56:25 +0000 2019,"Shreveport, LA"
"She didn't say ...

""Who the F are  You texting?"" https://t.co/17cCy9vDQP",Thu Jan 03 21:56:05 +0000 2019,"Shreveport, LA"
Bad bitches don’t know how to deal wit me.,Thu Jan 03 21:56:05 +0000 2019,"Shreveport, LA"
We know you not clearly 🙄,Thu Jan 03 21:55:38 +0000 2019,"Shreveport, LA"
If i can’t vibe with you it ain’t going nowhere. Looks is only bout 25% of what I’m looking for,Thu Jan 03 21:55:11 +0000 2019,"Shreveport, LA"
https://t.co/gWpKAS4OSe,Thu Jan 03 21:54:49 +0000 2019,"Shreveport, LA"
.... https://t.co/mBQ7oY3fbR,Thu Jan 03 21:54:30 +0000 2019,"Shreveport, LA"
😂 https://t.co/zh2bXi49yo,Thu Jan 03 21:54:12 +0000 2019,"Shreveport, LA"
"@foreignbae_ Please don’t, that’s how you know. It’s not all about looks",Thu Jan 03 21:54:04 +0000 2019,"Shreveport, LA"
https://t.co/kZPozvvI82,Thu Jan 03 21:53:52 +0000 2019,"Shreveport, LA"
https://t.co/1IBzQUjyIP,Thu Jan 03 21:53:42 +0000 2019,"Shreveport, LA"
@foreignbae_ No🤦🏾‍♂️ I’m missing out huh,Thu Jan 03 21:53:11 +0000 2019,"Shreveport, LA"
"What women want?

A Man!!

Feminist.... I swear https://t.co/lMSRCEAB2c",Thu Jan 03 21:53:11 +0000 2019,"Shreveport, LA"
@IAmErrinn_ 😂😂😂 SLEEP ME,Thu Jan 03 21:52:41 +0000 2019,"Shreveport, LA"
@EVILSLEEPYDAWG just let natural selection come for em @ this point lmao,Thu Jan 03 21:52:11 +0000 2019,"Shreveport, LA"
@foreignbae_ Let go see what this bout,Thu Jan 03 21:51:39 +0000 2019,"Shreveport, LA"
"I’ve never raised HMU hand to a female, never had to cause i barely argue",Thu Jan 03 21:51:02 +0000 2019,"Shreveport, LA"
Oh no no no🙅🏾‍♂️ we don’t do that.,Thu Jan 03 21:50:22 +0000 2019,"Shreveport, LA"
🤦🏾‍♀️ https://t.co/hS75alCruB,Thu Jan 03 21:50:19 +0000 2019,"Shreveport, LA"
@KevinLEGENDARY_ Smart,Thu Jan 03 21:50:03 +0000 2019,"Shreveport, LA"
Physical attraction is always great. But u can develop that,Thu Jan 03 21:49:50 +0000 2019,"Shreveport, LA"
RT if you’re white and not this gross https://t.co/rJfVH65gHq,Thu Jan 03 21:49:30 +0000 2019,"Shreveport, LA"
🎬 Welcome to The Witching Hour! Collider’s horror podcast. Episode 22 – 2019 Horror Movie Preview. (via @Collider)… https://t.co/VR8BQvzd14,Thu Jan 03 21:48:49 +0000 2019,"Shreveport, LA"
serving looks all year huh?,Thu Jan 03 21:48:47 +0000 2019,"Shreveport, LA"
Mental attraction 😍,Thu Jan 03 21:48:35 +0000 2019,"Shreveport, LA"
Yea something like that. Pick u up to hug you n stuff 😂😂,Thu Jan 03 21:48:10 +0000 2019,"Shreveport, LA"
@nadeeniedagenie They main excuse is that they grew up like that/ there parents did it. 🤷🏾‍♂️ okay so being gross r… https://t.co/vO9jM5RsgE,Thu Jan 03 21:47:53 +0000 2019,"Shreveport, LA"
@mitchellknaps https://t.co/GjTQFeoJ8w,Thu Jan 03 21:47:43 +0000 2019,"Shreveport, LA"
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂to funny,Thu Jan 03 21:47:11 +0000 2019,"Shreveport, LA"
So many different types of attractions,Thu Jan 03 21:46:42 +0000 2019,"Shreveport, LA"
Nah not really. I just have a standard female that i like.,Thu Jan 03 21:46:15 +0000 2019,"Shreveport, LA"
"Scrunchies are way better then normal hair ties (whatever you wanna call them) they don't give me headaches, and ma… https://t.co/xFzuAphepr",Thu Jan 03 21:45:54 +0000 2019,"Shreveport, LA"
Cause if we can’t watch buddy movies n laugh we can’t date,Thu Jan 03 21:45:00 +0000 2019,"Shreveport, LA"
"@EVILSLEEPYDAWG nah chief that’s gross asf, criticize them plz",Thu Jan 03 21:44:47 +0000 2019,"Shreveport, LA"
I’m making a checklist on this woman 😂😂🤣,Thu Jan 03 21:44:24 +0000 2019,"Shreveport, LA"
@foreignbae_ https://t.co/rDW5NUD66Q,Thu Jan 03 21:43:55 +0000 2019,"Shreveport, LA"
@foreignbae_ Nah i was hoping u was tho. To a certain extent,Thu Jan 03 21:43:12 +0000 2019,"Shreveport, LA"
Imagine me kissing a female on my tippy toes 🙅🏾‍♂️🙅🏾‍♂️🙅🏾‍♂️🙅🏾‍♂️🙅🏾‍♂️,Thu Jan 03 21:42:28 +0000 2019,"Shreveport, LA"
I can’t do it. You taller then me.,Thu Jan 03 21:41:45 +0000 2019,"Shreveport, LA"
now accepting wedding date applications https://t.co/CsFkCFapAB,Thu Jan 03 21:40:54 +0000 2019,"Shreveport, LA"
I like buddy girls lol. Just because they’re being theyself,Thu Jan 03 21:40:52 +0000 2019,"Shreveport, LA"
Gots to go😂😂🤣,Thu Jan 03 21:40:13 +0000 2019,"Shreveport, LA"
Yup it’s over 🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️,Thu Jan 03 21:39:53 +0000 2019,"Shreveport, LA"
I ain’t pick one up n a min,Thu Jan 03 21:39:31 +0000 2019,"Shreveport, LA"
Y’all look at my momma in the top left 🤣 too cute. https://t.co/njkPfRCk9V,Thu Jan 03 21:39:23 +0000 2019,"Shreveport, LA"
She look 5’4 😍,Thu Jan 03 21:38:59 +0000 2019,"Shreveport, LA"
I wonder how tall she is.,Thu Jan 03 21:38:43 +0000 2019,"Shreveport, LA"
If it taste like strawberries pucci there every night,Thu Jan 03 21:37:54 +0000 2019,"Shreveport, LA"
Witty i must say,Thu Jan 03 21:37:03 +0000 2019,"Shreveport, LA"
Lmao,Thu Jan 03 21:36:43 +0000 2019,"Shreveport, LA"
😂😂😂,Thu Jan 03 21:35:36 +0000 2019,"Shreveport, LA"
Not just yet bend over 👋🏾,Thu Jan 03 21:35:05 +0000 2019,"Shreveport, LA"
I thought that was pretty funny,Thu Jan 03 21:34:30 +0000 2019,"Shreveport, LA"
🤣🙈,Thu Jan 03 21:34:06 +0000 2019,"Shreveport, LA"
If u shower first 😂,Thu Jan 03 21:33:41 +0000 2019,"Shreveport, LA"
I need sum suggestions,Thu Jan 03 21:33:12 +0000 2019,"Shreveport, LA"
Idk what ima eat tonight,Thu Jan 03 21:32:59 +0000 2019,"Shreveport, LA"
I need @STARZ to do Boss TV movie to close out the show,Thu Jan 03 21:32:56 +0000 2019,"Shreveport, LA"
"Light a fire they can’t put out ✨ @ Shreveport, Louisiana https://t.co/Inl37CGXDm",Thu Jan 03 21:32:55 +0000 2019,"Shreveport, LA"
N salad 🥗,Thu Jan 03 21:28:57 +0000 2019,"Shreveport, LA"
